stock,weight,score,rank
6770,0.037500000000000006,3.366351181557966,1
2337,0.037500000000000006,3.012932404892396,2
2344,0.037500000000000006,2.8805574711314406,3
3037,0.03333333333333333,2.239989736236325,4
2451,0.03333333333333333,2.2207001525929444,5
1303,0.1,2.024465939692235,6
1802,0.1,2.002339157405718,7
2449,0.037500000000000006,1.972222421389906,8
2308,0.03333333333333333,1.7301356440919977,9
2360,0.03333333333333333,1.6501995885036966,10
2368,0.03333333333333333,1.646418085375366,11
3443,0.037500000000000006,1.5528200228238016,12
2313,0.03333333333333333,1.3214762221655647,13
3711,0.037500000000000006,1.103881414880033,14
1519,0.1,0.6237074595486433,15
2312,0.03333333333333333,0.5197835933609056,16
2345,0.03333333333333333,0.4710019363472659,17
2317,0.03333333333333333,0.3993369852873221,18
2408,0.037500000000000006,0.3977068929765737,19
2330,0.037500000000000006,0.3787854504199145,20
2231,0.1,0.18877782038872848,21
